,DataPesquisa,de,para,Ida,Volta,preco
0,25/01/2020 15:13:09,POA,ATL,2020-07-03,2020-07-19,7349
1,25/01/2020 15:13:09,POA,ATL,2020-07-04,2020-07-19,7215
2,25/01/2020 15:13:10,POA,MIA,2020-07-01,2020-07-16,3397
3,25/01/2020 15:13:10,POA,MIA,2020-07-01,2020-07-17,3370
4,25/01/2020 15:13:10,POA,MIA,2020-07-01,2020-07-18,3179
5,25/01/2020 15:13:10,POA,MIA,2020-07-01,2020-07-19,3210
6,25/01/2020 15:13:10,POA,MIA,2020-07-01,2020-07-20,3293
7,25/01/2020 15:13:10,POA,MIA,2020-07-01,2020-07-21,3344
8,25/01/2020 15:13:10,POA,MIA,2020-07-01,2020-07-22,3337
9,25/01/2020 15:13:10,POA,MIA,2020-07-02,2020-07-16,3245
10,25/01/2020 15:13:10,POA,MIA,2020-07-02,2020-07-17,3278
11,25/01/2020 15:13:10,POA,MIA,2020-07-02,2020-07-18,3118
12,25/01/2020 15:13:10,POA,MIA,2020-07-02,2020-07-19,3147
13,25/01/2020 15:13:10,POA,MIA,2020-07-02,2020-07-20,3182
14,25/01/2020 15:13:10,POA,MIA,2020-07-02,2020-07-21,3222
15,25/01/2020 15:13:10,POA,MIA,2020-07-02,2020-07-22,3268
16,25/01/2020 15:13:10,POA,MIA,2020-07-03,2020-07-16,3639
17,25/01/2020 15:13:10,POA,MIA,2020-07-03,2020-07-17,3649
18,25/01/2020 15:13:10,POA,MIA,2020-07-03,2020-07-18,3644
19,25/01/2020 15:13:10,POA,MIA,2020-07-03,2020-07-19,3728
20,25/01/2020 15:13:10,POA,MIA,2020-07-03,2020-07-20,3743
21,25/01/2020 15:13:10,POA,MIA,2020-07-03,2020-07-21,3688
22,25/01/2020 15:13:10,POA,MIA,2020-07-03,2020-07-22,3683
23,25/01/2020 15:13:10,POA,MIA,2020-07-04,2020-07-16,3664
24,25/01/2020 15:13:10,POA,MIA,2020-07-04,2020-07-17,3654
25,25/01/2020 15:13:10,POA,MIA,2020-07-04,2020-07-18,3627
26,25/01/2020 15:13:10,POA,MIA,2020-07-04,2020-07-19,3677
27,25/01/2020 15:13:10,POA,MIA,2020-07-04,2020-07-20,3711
28,25/01/2020 15:13:10,POA,MIA,2020-07-04,2020-07-21,3685
29,25/01/2020 15:13:10,POA,MIA,2020-07-04,2020-07-22,3666
30,25/01/2020 15:13:10,POA,MIA,2020-07-05,2020-07-16,3764
